[ 0.08403034 -0.04174977  1.04953872]
[ 0.08428311 -0.04266798  1.05472151]
[ 0.0845986  -0.04383779  1.06124961]
[ 0.08480898 -0.04447907  1.06507415]
[ 0.08505336 -0.04508793  1.06899933]
[ 0.08529586 -0.04556683  1.07243045]
[ 0.08550421 -0.04588259  1.07503226]
[ 0.08564519 -0.04603979  1.07659521]
[ 0.08578117 -0.04615978  1.07799506]
[ 0.08588592 -0.04622665  1.07898696]
[ 0.08597627 -0.04627114  1.07982078]
[ 0.08604679 -0.04627839  1.0803709 ]
[ 0.08608834 -0.04627102  1.08067603]
[ 0.08613758 -0.04625409  1.08100547]
[ 0.08617454 -0.04623219  1.08122768]
[ 0.08620403 -0.04620747  1.08139165]
[ 0.08622813 -0.04618165  1.08151779]
[ 0.08624961 -0.04615371  1.08162137]
[ 0.08626303 -0.04613179  1.08168183]
[ 0.08627711 -0.04610663  1.0817431 ]
[ 0.08628806 -0.04608612  1.08179072]
[ 0.08629788 -0.04606772  1.08183773]
[ 0.08630593 -0.04605262  1.08187943]
[ 0.08631494 -0.04603576  1.08192966]
[ 0.08632141 -0.04602365  1.08196906]
[ 0.08632878 -0.04600985  1.08201826]
[ 0.08633489 -0.04599841  1.08206154]
[ 0.0863405  -0.04598793  1.08210425]
[ 0.0863452  -0.04597915  1.08214211]
[ 0.08635057 -0.04596911  1.08218833]
[ 0.0863547  -0.04596141  1.0822254 ]
[ 0.08635991 -0.04595168  1.08227486]
[ 0.08636353 -0.04594492  1.0823097 ]
[ 0.08636735 -0.0459378   1.08234926]
[ 0.08637062 -0.04593173  1.08238356]
[ 0.08637409 -0.04592525  1.08242171]
[ 0.08637775 -0.04591845  1.0824632 ]
[ 0.0863806  -0.04591314  1.08249597]
[ 0.08638428 -0.0459063   1.08254036]
[ 0.08638695 -0.04590134  1.08257263]
[ 0.08638955 -0.04589652  1.08260453]
[ 0.08639236 -0.0458913   1.08263947]
[ 0.08639533 -0.04588576  1.08267727]
[ 0.0863977  -0.04588135  1.0827079 ]
[ 0.08640053 -0.04587609  1.0827447 ]
[ 0.08640278 -0.0458719   1.08277398]
[ 0.08640547 -0.0458669   1.08280985]
[ 0.08640762 -0.0458629   1.08283835]
[ 0.08641019 -0.04585812  1.08287331]
[ 0.08641225 -0.0458543   1.08290097]
[ 0.08641448 -0.04585014  1.08293167]
[ 0.08641689 -0.04584567  1.08296498]
